Elemental Bow Mutation #1:

Tier chances: 1, 1, 1, 1, 1, 1

    - Chance 15%:
        DamageMod = 2.23

    - Chance 35%:
        DamageMod = 2.25

    - Chance 35%:
        DamageMod = 2.27

    - Chance 15%:
        DamageMod = 2.3

Elemental Bow Mutation #2:

Tier chances: 1, 1, 1, 1, 1, 0

    - Chance 15%:
        ElementalDamageBonus = 1

    - Chance 35%:
        ElementalDamageBonus = 2

    - Chance 35%:
        ElementalDamageBonus = 3

    - Chance 15%:
        ElementalDamageBonus = 4

Elemental Bow Mutation #3:

Tier chances: 0, 0, 0, 0, 0, 1

    - Chance 10%:
        ElementalDamageBonus = 1

    - Chance 20%:
        ElementalDamageBonus = 2

    - Chance 15%:
        ElementalDamageBonus = 3

    - Chance 5%:
        ElementalDamageBonus = 4

    - Chance 8%:
        ElementalDamageBonus = 5
        WieldDifficulty = 335

    - Chance 10%:
        ElementalDamageBonus = 6
        WieldDifficulty = 335

    - Chance 10%:
        ElementalDamageBonus = 7
        WieldDifficulty = 335

    - Chance 7%:
        ElementalDamageBonus = 8
        WieldDifficulty = 335

    - Chance 6%:
        ElementalDamageBonus = 9
        WieldDifficulty = 360

    - Chance 4%:
        ElementalDamageBonus = 10
        WieldDifficulty = 360

    - Chance 3%:
        ElementalDamageBonus = 11
        WieldDifficulty = 360

    - Chance 2%:
        ElementalDamageBonus = 12
        WieldDifficulty = 360
